SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
37343,2023-09,1087,곡성세계장미축제,곡성세계장미축제,300,문화축제
37344,2023-09,1088,곡성심청축제,곡성심청축제,350,문화축제
37345,2023-09,526,곰소젓갈발효축제,곰소젓갈발효축제,170,문화축제
37346,2023-09,1031,곰취축제,곰취축제,30,문화축제
37347,2023-09,279,공주 석장리 구석기축제,공주석장리구석기축제,17,문화축제
37348,2023-09,170,공주 석장리 세계구석기축제,공주석장리세계구석기축제,80,문화축제
37349,2023-09,300,공주항공축제,공주항공축제,20,문화축제
37350,2023-09,689,광산우리밀축제,광산우리밀축제,20,문화축제
37351,2023-09,1124,광양매화축제,광양매화축제,970,문화축제
37352,2023-09,1127,광양숯불구이축제,광양숯불구이축제,2390,문화축제
37353,2023-09,1126,광양전어축제,광양전어축제,3060,문화축제
37354,2023-09,749,광주 남한산성문화제,광주남한산성문화제,440,문화축제
37355,2023-09,447,광주남한산성문화제,광주남한산성문화제,440,문화축제
37356,2023-09,620,광주세계김치축제,광주세계김치축제,490,문화축제
37357,2023-09,750,광주왕실도자기축제,광주왕실도자기축제,230,문화축제
37358,2023-09,619,광주프린지페스티벌,광주프린지페스티벌,580,문화축제
37359,2023-09,83,괴산고추축제,괴산고추축제,38930,문화축제
37360,2023-09,85,괴산올갱이축제,괴산올갱이축제,10,문화축제
37361,2023-09,146,구로G페스티벌,구로G페스티벌,5980,문화축제
37362,2023-09,563,구름산예술제,구름산예술제,50,문화축제
37363,2023-09,900,군산시간여행축제,군산시간여행축제,12260,문화축제
37364,2023-09,448,군포철쭉축제,군포철쭉축제,250,문화축제
37365,2023-09,375,굿모닝 양림,굿모닝양림,100,문화축제
37366,2023-09,198,금강여울축제,금강여울축제,40,문화축제
37367,2023-09,443,금난새와 함께하는 종로 음악회,금난새와함께하는종로음악회,17,문화축제
37368,2023-09,868,금능 원담축제,금능원담축제,16,문화축제
37369,2023-09,196,금산인삼축제,금산인삼축제,43300,문화축제
37370,2023-09,835,금호강 바람소리길 축제,금호강바람소리길축제,25800,문화축제
37371,2023-09,191,기지시줄다리기 민속축제,기지시줄다리기민속축제,15,문화축제
37372,2023-09,967,김광석노래부르기,김광석노래부르기,70,문화축제
37373,2023-09,973,김광석추모콘서트,김광석추모콘서트,33,문화축제
37374,2023-09,483,김삿갓문화제,김삿갓문화제,2510,문화축제
